t_s,gz_filt_dps,ax_filt_mms2,ay_filt_mms2,az_filt_mms2,ax_raw_mms2,ay_raw_mms2,az_raw_mms2
5.5450,-58.7496,3641.47,8382.49,-1291.20,4034.46,8680.85,-4062.90
5.5550,-62.2478,3332.32,8366.93,-765.04,2095.68,8278.77,1339.59
5.5650,-67.6995,3286.03,8544.65,-1596.03,3100.86,9551.68,-4920.00
5.5760,-70.5707,4454.03,8425.92,-1871.11,9126.07,7753.14,-2971.41
5.5860,-73.6095,3700.13,8480.78,-962.82,684.50,8791.66,2670.35
5.5960,-78.2147,4257.91,8251.75,-1492.02,6489.06,6953.90,-3608.85
5.6060,-79.8213,4134.77,8045.60,-765.85,3642.19,6877.40,2138.83
5.6160,-82.2899,4021.74,8382.13,-1004.16,3569.62,10289.14,-1957.41
5.6270,-85.1940,3557.09,8429.14,-1528.83,1698.51,8695.56,-3627.48
5.6370,-90.0618,3811.43,8194.91,-1326.42,4828.79,6867.60,-516.81
5.6470,-94.2673,3624.41,8245.59,-1054.47,2876.29,8532.77,33.34
5.6570,-97.0851,3497.73,8705.69,-308.53,2991.03,11312.95,2675.25
5.6680,-100.4436,3783.16,8573.55,-671.84,4924.90,7824.73,-2125.10
5.6780,-103.2776,3667.89,8630.54,-552.77,3206.77,8953.47,-76.49
5.6880,-106.0383,3885.75,8908.75,-834.68,4757.21,10485.27,-1962.31
5.6990,-108.5589,3624.43,8713.05,-858.19,2579.15,7604.08,-952.23
5.7100,-110.5332,3308.29,8732.63,-853.07,2043.71,8843.64,-832.58
5.7200,-112.3773,3268.76,8946.69,-655.58,3110.67,10159.69,134.35
5.7300,-114.4871,3322.27,9573.03,-677.65,3536.28,13122.28,-765.90
5.7400,-119.1350,3413.90,8828.30,-1012.05,3780.46,4608.14,-2349.67
5.7510,-122.0315,3357.18,8730.13,-1205.83,3130.28,8173.84,-1980.94
5.7610,-125.5081,3387.31,9057.98,-437.26,3507.84,10915.78,2637.01
5.7710,-130.9657,3693.85,8865.78,-392.96,4920.00,7776.67,-215.75
5.7810,-137.4320,4010.86,8934.24,-495.20,5278.92,9322.20,-904.17
5.7920,-142.2524,4200.34,9334.89,-69.80,4958.24,11605.19,1631.83
5.8020,-145.3327,4200.34,10010.67,1300.42,-4508.12,13840.13,6781.30
5.8120,-141.3150,3274.17,10331.64,1097.81,-430.51,12150.44,287.33
5.8220,-133.2315,3274.17,10331.64,1097.81,-7456.00,-11859.18,-32025.58
5.8330,-120.7691,3055.73,10043.13,1097.81,2181.98,8408.22,-9576.19
5.8430,-114.4184,3055.73,9660.06,1290.71,18702.26,7489.34,2062.34
5.8530,-117.7009,1914.24,9660.06,1918.89,-2651.72,18678.73,4431.63
5.8630,-115.1057,1914.24,8893.00,1918.89,10250.89,4546.36,-9599.73
5.8740,-112.1550,1914.24,9270.41,1510.21,-11409.06,11409.06,-124.54
5.8840,-103.2015,1914.24,9191.39,1510.21,-8728.90,8743.61,-12150.44
5.8940,-96.4511,1996.62,9374.00,1034.00,2326.14,10408.78,-870.83
5.9040,-89.8148,1648.09,8863.00,1034.00,253.99,5967.35,-14820.79
